x_jw,y_jw,x_moon,y_moon,x_earth,y_earth
152346358.4741917,11257977.42888976,151932607.8919143,11380775.195246091,151689728.4828879,11067336.984197395
152340140.7454415,11442691.887462473,151913767.48227558,11568416.01459823,151675999.91782135,11251472.05326062
152333664.73869234,11627380.494082814,151894639.7879536,11755958.802038858,151662044.56092453,11435591.196851369
152326931.1947046,11812043.221690103,151875225.99214837,11943402.207467034,151647862.41845813,11619694.15132249
152319940.82848552,11996680.033842389,151855527.29701293,12130744.894078169,151633453.4967876,11803780.652892323
152312694.3307542,12181290.885176923,151835544.9236318,12317985.538652703,151618817.80238333,11987850.43764166
152305192.36928934,12365875.721846601,151815280.11199814,12505122.831849579,151603955.34182093,12171903.241510639
152297435.59017277,12550434.481933238,151794734.12098867,12692155.47850465,151588866.12178153,12355938.80029559
152289424.6189394,12734967.095838705,151773908.22833645,12879082.197934149,151573550.14905202,12539956.849645816
152281160.06164327,12919473.486654941,151752803.73060152,13065901.724243382,151558007.43052542,12723957.125060316
152272642.50584775,13103953.5705139,151731421.94313878,13252612.806640763,151542237.97320122,12907939.361884443
152263872.52154714,13288407.256918479,151709764.2000634,13439214.209757343,151526241.78418577,13091903.295306493
152254850.66202605,13472834.449055435,151687831.85421315,13625704.713971956,151510018.87069267,13275848.66035424
152245577.46466216,13657235.044091329,151665626.2771075,13812083.115742112,151493569.2400433,13459775.191891389
152236053.45167702,13841608.933452405,151643148.8589036,13998348.227940783,151476892.89966726,13643682.62461397
152226279.13083968,14025956.00308937,151620401.0083482,14184498.88019918,151459989.85710287,13827570.693046657
152216254.99612668,14210276.133727925,151597384.1527262,14370533.919255668,151442860.11999786,14011439.131539015
152205981.52834228,14394569.201105881,151574099.73780453,14556452.209310906,151425503.69610992,14195287.674261676
152195459.19570163,14578835.076197663,151550549.22777182,14742252.632389355,151407920.59330744,14379116.055202436
152184688.45438027,14763073.625426924,151526734.10517326,14927934.088707231,151390110.8195702,14562924.008162277
152173669.7490319,14947284.710867984,151502655.87084046,15113495.497047007,151372074.38299027,14746711.26675132
152162403.51327726,15131468.190436754,151478316.0438158,15298935.795138573,151353811.2917727,14930477.564384682
152150890.17016593,15315623.918071752,151453716.1612711,15484253.94004711,151335321.55423662,15114222.634278279
152139130.13261297,15499751.743905803,151428857.77842033,15669448.90856777,151316605.17881617,15297946.209444523
152127123.80381235,15683851.514428975,151403742.46842578,15854519.697627218,151297662.17406157,15481648.022687953
152114871.5776285,15867923.072643243,151378371.82229742,16039465.324692102,151278492.5486403,15665327.806600783
152102373.83896762,16051966.25820938,151352747.44878516,16224284.828184474,151259096.3113384,15848985.293558367
152089630.96413007,16235980.90758652,151326870.9742634,16408977.267904224,151239473.4710616,16032620.215714578
152076643.32114488,16419966.854164816,151300744.04260772,16593541.725458516,151219624.03683698,16216232.30499711
152063411.27008775,16603923.928391572,151274368.31506303,16777977.304698255,151199548.0178144,16399821.293102695
152049935.16338345,16787851.95789125,151247745.47010294,16962283.132161565,151179245.4232681,16583386.91149223
152036215.3460937,16971750.767579675,151220877.20327973,17146458.357524253,151158716.26259845,16766928.891385842
152022252.15619123,17155620.179772776,151193765.22706467,17330502.154057242,151137960.54533383,16950446.963757847
