x_jw,y_jw,x_moon,y_moon,x_earth,y_earth
151788721.6894616,5842270.426182187,152359143.71655455,5713132.64857735,151996100.42440704,5537182.522352553
151776303.79405183,6032384.378607945,152349377.4640572,5903031.383305573,151989178.01186526,5721673.315338516
151763721.0534157,6222396.9211723935,152339297.30799004,6092877.497831168,151982028.6677113,5906156.042957872
151750971.28638825,6412311.612374273,152328903.85754037,6282669.359205022,151974652.39511958,6090630.444397793
151738052.45156187,6602131.732573025,152318197.74114382,6472405.340679896,151967049.19736624,6275096.258783804
151724962.63475156,6791860.3118033735,152307179.60647765,6662083.821915103,151959219.07782924,6459553.22517773
151711700.03789902,6981500.154087785,152295850.12045375,6851703.189182476,151951162.0399884,6644001.082575628
151698262.9692164,7171053.858773093,152284209.9692118,7041261.8355736835,151942878.08742544,6828439.569905696
151684649.83440325,7360523.839326388,152272259.85811237,7230758.161208985,151934367.22382414,7012868.42602618
151670859.1287955,7549912.339951849,152260000.51173005,7420190.573447506,151925629.45297036,7197287.389723246
151656889.4303275,7739221.450330731,152247432.6738464,7609557.48709912,151916664.77875203,7381696.199708844
151642739.39320514,7928453.118738304,152234557.10744303,7798857.324638036,151907473.20515937,7566094.594618547
151628407.7422036,8117609.16375181,152221374.59469458,7988088.516418165,151898054.73628485,7750482.313009373
151613893.26751494,8306691.284730885,152207885.93696153,8177249.5008903835,151888409.3763233,7934859.093357583
151599194.82008174,8495701.071224794,152194091.95478314,8366338.724821785,151878537.129572,8119224.67405645
151584311.3073608,8684640.01143836,152179993.4878701,8555354.643517016,151868438.0004307,8303578.793414016
151569241.68946952,8873509.499869693,152165591.3950972,8744295.721041808,151858111.9934017,8487921.189650811
151553984.97567257,9062310.84421703,152150886.55449572,8933160.43044882,151847559.11308998,8672251.600897549
151538540.2211729,9251045.271638772,152135879.8632458,9121947.254005888,151836779.3642032,8856569.7651928
151522906.52417454,9439713.934439523,152120572.23766837,9310654.683426803,151825772.7515519,9040875.420480622
151507083.02318996,9628317.915245473,152104964.61321706,9499281.220104745,151814539.28004938,9225168.304608176
151491068.89456668,9816858.231724283,152089057.94446963,9687825.37534847,151803078.954712,9409448.155323295
151474863.3502118,10005335.840897761,152072853.20511904,9876285.670621395,151791391.7806591,9593714.710272029
151458465.635495,10193751.643089626,152056351.38796425,10064660.637783693,151779477.76311323,9777967.706996147
151441875.02731326,10382106.485545544,152039553.5049003,10252948.819337519,151767336.90740013,9962206.882930603
151425090.83230177,10570401.165758247,152022460.5869081,10441148.768675517,151754969.21894887,10146431.975400971
151408112.38517797,10758636.434526667,152005073.68404335,10629259.050332721,151742374.70329204,10330642.721620834
151390939.04720637,10946812.998774761,151987393.8654249,10817278.240241988,151729553.36606574,10514838.858689127
151373570.20477355,11134931.524152765,151969422.21922228,11005204.925993105,151716505.21300983,10699020.123587452
151356005.26806363,11322992.637441155,151951159.8526422,11193037.7070957,151703230.249968,10883186.253177322
151338243.66982576,11510996.928775351,151932607.8919143,11380775.195246091,151689728.4828879,11067336.984197395
151320284.86422554,11698944.953707304,151913767.48227558,11568416.01459823,151675999.91782135,11251472.05326062
151302128.32577357,11886837.23511837,151894639.7879536,11755958.802038858,151662044.56092453,11435591.196851369
151283773.5483248,12074674.264996458,151875225.99214837,11943402.207467034,151647862.41845813,11619694.15132249
151265220.0441428,12262456.506089028,151855527.29701293,12130744.894078169,151633453.4967876,11803780.652892323
151246467.34302413,12450184.393442443,151835544.9236318,12317985.538652703,151618817.80238333,11987850.43764166
151227514.99147746,12637858.335837081,151815280.11199814,12505122.831849579,151603955.34182093,12171903.241510639
151208362.551954,12825478.717126742,151794734.12098867,12692155.47850465,151588866.12178153,12355938.80029559
151189009.6021247,13013045.897490038,151773908.22833645,12879082.197934149,151573550.14905202,12539956.849645816
151169455.7342009,13200560.214600759,151752803.73060152,13065901.724243382,151558007.43052542,12723957.125060316
151149700.5542953,13388021.984723546,151731421.94313878,13252612.806640763,151542237.97320122,12907939.361884443
151129743.68182027,13575431.50374061,151709764.2000634,13439214.209757343,151526241.78418577,13091903.295306493
151109584.74892053,13762789.048114762,151687831.85421315,13625704.713971956,151510018.87069267,13275848.66035424
151089223.39993805,13950094.875793483,151665626.2771075,13812083.115742112,151493569.2400433,13459775.191891389
151068659.2909069,14137349.227058442,151643148.8589036,13998348.227940783,151476892.89966726,13643682.62461397
151047892.08907565,14324552.325324396,151620401.0083482,14184498.88019918,151459989.85710287,13827570.693046657
151026921.47245562,14511704.377891129,151597384.1527262,14370533.919255668,151442860.11999786,14011439.131539015
151005747.12939337,14698805.576651784,151574099.73780453,14556452.209310906,151425503.69610992,14195287.674261676
150984368.75816536,14885856.098760612,151550549.22777182,14742252.632389355,151407920.59330744,14379116.055202436
150962786.06659365,15072856.10726299,151526734.10517326,14927934.088707231,151390110.8195702,14562924.008162277
150940998.77168122,15259805.751690261,151502655.87084046,15113495.497047007,151372074.38299027,14746711.26675132
150919006.59926528,15446705.168621812,151478316.0438158,15298935.795138573,151353811.2917727,14930477.564384682
150896809.2836879,15633554.482216548,151453716.1612711,15484253.94004711,151335321.55423662,15114222.634278279
150874406.5674823,15820353.80471583,151428857.77842033,15669448.90856777,151316605.17881617,15297946.209444523
150851798.20107427,16007103.23691973,151403742.46842578,15854519.697627218,151297662.17406157,15481648.022687953
150828983.94249746,16193802.868638348,151378371.82229742,16039465.324692102,151278492.5486403,15665327.806600783
150805963.5571217,16380452.77911979,151352747.44878516,16224284.828184474,151259096.3113384,15848985.293558367
