vx_JW,vy_JW
-21458.008529394036,104379.27235834986
-21587.135212792422,104353.01448657516
-21716.230691467434,104326.59894200292
-21845.29477837957,104300.02575999829
-21974.327286526823,104273.2949761377
-22103.328028944896,104246.40662620883
-22232.296818707422,104219.36074621053
-22361.233468926195,104192.15737235281
-22490.13779275137,104164.79654105681
-22619.009603371698,104137.2782889547
-22747.848714014737,104109.60265288968
-22876.654937947078,104081.76966991593
-23005.42808847456,104053.77937729856
-23134.16797894248,104025.63181251359
-23262.874422735833,103997.32701324785
-23391.547233279507,103968.865017399
-23520.18622403852,103940.24586307544
-23648.79120851823,103911.46958859629
-23777.362000264548,103882.53623249131
-23905.89841286417,103853.44583350093
-24034.40025994479,103824.19843057609
-24162.867355175305,103794.79406287831
-24291.299512266054,103765.23276977958
-24419.696544969018,103735.51459086234
-24548.05826707805,103705.63956591938
-24676.38449242909,103675.60773495388
-24804.67503490037,103645.41913817929
-24932.929708412656,103615.07381601931
-25061.148326929437,103584.57180910786
-25189.330704457163,103553.91315828901
-25317.47665504546,103523.09790461692
-25445.585992787328,103492.12608935584
-25573.658531819383,103460.99775398
-25701.69408632206,103429.71294017362
-25829.69247051983,103398.27168983083
-25957.65349868142,103366.67404505561
-26085.576985120028,103334.92004816179
-26213.462744193537,103303.00974167294
-26341.310590304736,103270.94316832237
-26469.12033790153,103238.72037105304
-26596.891801477166,103206.34139301756
-26724.62479557043,103173.80627757809
-26852.319134765887,103141.1150683063
-26979.974633694073,103108.26780898336
-27107.59110703173,103075.26454359986
-27235.168369502015,103042.10531635572
-27362.706235874703,103008.79017166022
-27490.204520966417,102975.3191541319
-27617.66303964084,102941.6923085985
-27745.081606808926,102907.90968009696
-27872.46003742912,102873.97131387328
-27999.798146507565,102839.87725538257
-28127.095749098324,102805.62755028893
-28254.352660303593,102771.22224446545
-28381.56869527391,102736.66138399407
-28508.743669208372,102701.94501516562
-28635.877397354856,102667.07318447973
-28762.969695010222,102632.04593864475
-28890.020377520534,102596.86332457776
-29017.02926028127,102561.52538940447
-29143.99615873754,102526.0321804592
-29270.92088838429,102490.38374528474
-29397.80326476653,102454.58013163242
-29524.643103479535,102418.62138746199
-29651.440220169057,102382.50756094154
-29778.194430531556,102346.2387004475
-29904.905550314386,102309.81485456458
-30031.573395316034,102273.23607208567
-30158.197781386316,102236.50240201181
-30284.77852442659,102199.61389355219
-30411.31544038998,102162.57059612399
-30537.80834528157,102125.3725593524
-30664.25705515864,102088.01983307053
-30790.661386130858,102050.5124673194
-30917.0211543605,102012.85051234778
-31043.336176062658,101975.03401861229
-31169.606267505456,101937.06303677722
-31295.831245010268,101898.9376177145
-31422.01092495191,101860.65781250368
-31548.145123758863,101822.2236724318
-31674.233657913494,101783.63524899347
-31800.27634395225,101744.89259389063
-31926.27299846588,101705.99575903265
-32052.223438099638,101666.94479653618
-32178.1274795535,101627.73975872512
-32303.98493958237,101588.38069813058
-32429.795634996295,101548.86766749079
-32555.559382660675,101509.20071975108
-32681.27599949647,101469.37990806377
-32806.94530248041,101429.40528578816
-32932.567108645206,101389.27690649046
-33058.14123507976,101348.99482394368
-33183.66749892938,101308.55909212766
-33309.145717395986,101267.96976522896
-33434.57570773831,101227.22689764078
-33559.95728727212,101186.33054396293
-33685.29027337042,101145.28075900179
-33810.574483463664,101104.0775977702
-33935.80973503997,101062.72111548744
-34060.99584564531,101021.21136757916
-34186.13263288374,100979.5484096773
-34311.2199144176,100937.73229762007
-34436.25750796771,100895.76308745182
-34561.24523131361,100853.64083542308
-34686.18290229373,100811.3655979904
-34811.07033880564,100768.93743181635
-34935.90735880622,100726.35639376943
-35060.69378031187,100683.62254092401
