vx_JW,vy_JW,rad
151856091.59421387,22870137.406301454,0.1494806209148098
151827701.51244545,23054640.196255814,0.15069619446641697
151799083.2626963,23239108.21790523,0.15191177491297098
151770236.8863149,23423541.19280951,0.15312736230996593
151741162.42497978,23607938.84257538,0.1543429567128999
151711859.92069945,23792300.888856832,0.15555855817726288
151682329.41581234,23976627.05335553,0.15677416675854472
151652570.95298678,24160917.057821162,0.15798978251223045
151622584.57522088,24345170.624051817,0.15920540549380438
151592370.3258426,24529387.473894358,0.16042103575874575
151561928.24850953,24713567.329244796,0.16163667336253393
151531258.38720897,24897709.91204866,0.16285231836064404
151500360.78625786,25081814.944301374,0.1640679708085475
151469235.4903027,25265882.14804862,0.1652836307617144
151437882.54431948,25449911.245386723,0.1664992982756099
151406301.99361363,25633901.958463013,0.16771497340569944
151374493.88382003,25817854.0094762,0.16893065620744155
151342458.26090285,26001767.12067675,0.1701463467362965
151310195.17115563,26185641.014367245,0.17136204504771657
151277704.6612011,26369475.41290278,0.17257775119715443
151244986.77799115,26553270.038691305,0.17379346524005887
151212041.56880686,26737024.614194017,0.17500918723187647
151178869.0812583,26920738.861925725,0.1762249172280487
151145469.36328462,27104412.504455216,0.17744065528401426
151111842.4631539,27288045.26440564,0.17865640145521125
151077988.42946312,27471636.864454877,0.1798721557970718
151043907.31113806,27655187.027335893,0.18108791836502625
151009599.15743336,27838695.475837138,0.1823036892145002
150975064.0179323,28022161.932802893,0.1835194684009192
150940301.94254687,28205586.121133663,0.18473525597970172
150905312.98151767,28388967.763786525,0.18595105200626724
150870097.1854138,28572306.583775524,0.18716685653602633
150834654.60513288,28755602.304172024,0.1883826696243911
150798985.2919009,28938854.648105085,0.18959849132677006
150763089.29727226,29122063.338761844,0.19081432169856424
150726966.67312968,29305228.09938787,0.19203016079517568
150690617.47168404,29488348.653287545,0.19324600867200004
150654041.74547443,29671424.723824434,0.1944618653844326
150617239.54736808,29854456.034421653,0.1956777309878611
150580210.9305602,30037442.30856224,0.19689360553767324
150542955.94857407,30220383.269789528,0.19810948908925302
150505474.6552608,30403278.641707506,0.19932538169797742
150467767.10479945,30586128.147981208,0.20054128341922348
150429833.3516968,30768931.512337063,0.20175719430836334
150391673.45078737,30951688.458563283,0.20297311442076504
150353287.45723334,31134398.710510217,0.20418904381179429
150314675.4265245,31317061.992090736,0.20540498253681186
150275837.41447815,31499678.02728059,0.20662093065117546
150236773.4772391,31682246.540118787,0.2078368882102382
150197483.6712795,31864767.254707962,0.2090528552693515
150157968.05339882,32047239.89521474,0.21026883188386022
150118226.68072382,32229664.18587011,0.21148481810910835
150078259.61070845,32412039.850969803,0.2127008140004326
150038066.90113378,32594366.614874642,0.2139168196131689
149997648.61010793,32776644.202010937,0.21513283500264677
149957004.79606602,32958872.33687083,0.21634886022419514
149916135.51777005,33141050.744012676,0.21756489533313567
149875040.8343089,33323179.148061417,0.218780940384787
149833720.80509818,33505257.27370894,0.21999699543446483
149792175.48988023,33687284.84571446,0.221213060537481
149750404.94872406,33869261.588904865,0.22242913574914144
149708409.24202517,34051187.22817511,0.22364522112474844
149666188.4305056,34233061.488488585,0.22486131671960105
149623742.5752138,34414884.09487747,0.22607742258899566
149581071.7375245,34596654.772443086,0.2272935387882197
149538175.9791388,34778373.24635632,0.22850966537256195
149495055.3620839,34960039.24185795,0.22972580239730328
149451709.9487132,35141652.484259024,0.23094194991772155
149408139.80170614,35323212.698941216,0.23215810798909076
149364344.98406807,35504719.61135722,0.23337427666667948
149320325.55913028,35686172.947031096,0.2345904560057539
149276081.5905499,35867572.43155865,0.23580664606157342
149231613.14230976,36048917.79060781,0.2370228468893941
149186920.2787184,36230208.74991897,0.23823905854446903
149142003.06440997,36411445.035305366,0.23945528108204323
149096861.5643441,36592626.37265346,0.24067151455736202
149051495.84380588,36773752.487923294,0.2418877590256627
149005905.96840572,36954823.107148856,0.24310401454217906
148960092.00407937,37135837.95643846,0.24432028116214188
148914054.01708776,37316796.761975095,0.24553655894077345
148867792.07401693,37497699.25001681,0.24675284793329522
148821306.24177802,37678545.14689706,0.24796914819492283
148774596.5876071,37859334.17902511,0.24918545978086645
148727663.1790651,38040066.07288636,0.25040178274633307
148680506.08403784,38220740.55504274,0.2516181171465237
148633125.3707358,38401357.352133065,0.2528344630366352
148585521.1076941,38581916.19087341,0.25405082047185956
148537693.36377245,38762416.79805745,0.2552671895073837
148489642.20815507,38942858.900556885,0.25648357019838997
148441367.71035054,39123242.22532174,0.2576999626000547
148392869.94019178,39303566.499380775,0.2589163667675529
148344148.9678359,39483831.44984184,0.2601327827560496
148295204.86376423,39664036.80389223,0.26134921062070915
148246037.6987821,39844182.28879906,0.262565650416689
148196647.54401883,40024267.631909646,0.26378210219914144
148147034.47092772,40204292.56065184,0.2649985660232132
148097198.5512858,40384256.80253442,0.26621504194404805
148047139.85719386,40564160.08514744,0.26743153001678377
147996858.46107632,40744002.136162624,0.2686480302965515
147946354.43568116,40923782.683333695,0.2698645428384791
147895627.85407987,41103501.454496756,0.2710810676976889
147844678.78966725,41283158.17757067,0.272297604929296
147793507.31616145,41462752.580557406,0.2735141545884134
147742113.5076038,41642284.39154241,0.27473071673014765
147690497.43835878,41821753.338694975,0.27594729140959795
147638659.18311387,42001159.150268584,0.2771638786818624
147586598.81687954,42180501.55460132,0.27838047860202764
147534316.41498908,42359780.280116186,0.27959709122518156
147481812.05309853,42538995.05532149,0.28081371660640275
147429085.80718666,42718145.60881122,0.28203035480076455
147376137.7535548,42897231.66926538,0.2832470058633356
147322967.9688267,43076252.96545038,0.28446366984917865
147269576.52994868,43255209.226219386,0.2856803468133516
147215963.5141892,43434100.18051269,0.286897036810906
147162128.9991391,43612925.55735808,0.288113739896887
147108073.0627112,43791685.08587119,0.2893304561263368
147053795.78314048,43970378.49525588,0.29054718555428827
146999297.23898378,44149005.51480458,0.2917639282357726
146944577.50911984,44327565.87389868,0.29298068422581147
146889636.67274913,44506059.30200887,0.2941974535794224
146834474.8093938,44684485.52869551,0.295414236351618
146779091.99889755,44862844.28360901,0.2966310325974046
146723488.32142562,45041135.29649017,0.2978478423717808
146667663.85746455,45219358.29717056,0.2990646657297415
146611618.6878222,45397513.01557287,0.30028150272627535
146555352.8936276,45575599.18171128,0.3014983534163635
146498866.55633095,45753616.52569183,0.30271521785498345
146442159.75770333,45931564.77771277,0.303932096097104
146385232.57983682,46109443.66806493,0.3051489881976903
146328085.10514423,46287252.92713208,0.3063658942117003
146270717.41635913,46464992.28539129,0.30758281419408506
146213129.59653565,46642661.473413326,0.30879974819979183
146155321.7290485,46820260.22186294,0.3100166962837587
146097293.8975927,46997788.26149931,0.31123365850092016
146039046.18618366,47175245.32317634,0.3124506349062026
145980578.679157,47352631.137843065,0.3136676255545264
145921891.4611684,47529945.436544,0.3148846305008068
145862984.61719364,47707187.9504195,0.3161016497999513
145803858.2325283,47884358.41070611,0.3173186835068619
145744512.39278787,48061456.54873695,0.3185357316764342
145684947.18390748,48238482.095942065,0.31975279436355614
145625162.69214192,48415434.78384878,0.32096987162310997
145565159.00406545,48592314.344082065,0.3221869635099724
145504936.20657176,48769120.50836491,0.32340407007901223
145444494.3868738,48945853.008518666,0.324621191385092
145383833.6325038,49122511.57646342,0.325838327483067
145322954.03131303,49299095.94421836,0.32705547842778787
145261855.67147171,49475605.8439021,0.3282726442740962
145200538.64146903,49652041.00773311,0.3294898250768278
